City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
656,Tulum,MX,87.85,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
659,Vegueta,PE,66.87,scattered clouds,-11.0231,-77.6431,Hospedaje Gavión
660,Mogadishu,SO,80.2,clear sky,2.0371,45.3438,Hotel Juba
661,Along,IN,65.7,clear sky,28.1667,94.7667,Hotel West
666,Banyo,CM,72.23,light rain,6.75,11.8167,Motel JOMBA
671,Cairns,AU,75.15,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
673,San Jeronimo,PE,66.83,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
674,Dubai,AE,84.78,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
675,Shakawe,BW,89.04,broken clouds,-18.3667,21.85,Ditlhapi Guest House
685,Port Keats,AU,80.47,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
686,Bambanglipuro,ID,77.99,overcast clouds,-7.95,110.2833,Puri Brata
689,Corrente,BR,89.71,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
690,Abu Dhabi,AE,85.42,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
691,Gijon,ES,68.45,scattered clouds,43.5357,-5.6615,Miramar
696,Boyolangu,ID,77.0,overcast clouds,-8.1181,111.8935,Yos ega cv
699,Jaca,ES,65.01,clear sky,42.569,-0.5499,Hotel Real Jaca & Spa
700,Upata,VE,84.2,broken clouds,8.0086,-62.3989,Posada Villa Nela
